epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,635.172,1.17893,1.96498,0.51622,0.60963,0.03001,16.4622,0.88028,0.98039,0.98012,0.68817,0.84542,0.94286,0.9267,0.11656,1.16509,3.80842,0.72721,0.59816,0.05029,0,0.009175,0.009175,0.009175
27,658.1,1.1996,1.91922,0.52434,0.61493,0.03112,16.6589,0.935,0.94286,0.98064,0.7232,0.9157,0.92381,0.95981,0.11158,1.00003,4.0253,0.72193,0.53183,0.04149,0,0.009142,0.009142,0.009142
28,681.929,1.18023,2.09052,0.51606,0.57823,0.03048,16.991,0.95122,0.91429,0.97327,0.63534,0.96873,0.88507,0.96693,0.11406,1.35542,3.97274,0.7291,0.55222,0.05717,0,0.009109,0.009109,0.009109
29,705.421,1.17836,2.06227,0.50863,0.60409,0.03063,17.0727,0.857,0.7991,0.88069,0.57749,0.84691,0.79028,0.85534,0.10779,1.32166,3.80647,0.7161,0.80899,0.0589,0,0.009076,0.009076,0.009076
30,728.907,1.14118,1.99076,0.51138,0.58147,0.02927,16.5719,0.84625,0.94286,0.92626,0.66635,0.76703,0.85714,0.84785,0.10595,1.07917,3.85862,0.70163,0.77691,0.0462,0,0.009043,0.009043,0.009043
31,751.353,1.14579,1.87457,0.50519,0.5694,0.02977,16.2806,0.87146,0.93333,0.96502,0.7497,0.8498,0.89524,0.93653,0.11057,0.89541,3.96972,0.82953,0.4593,0.03765,0,0.00901,0.00901,0.00901
32,775.274,1.16262,1.97632,0.49775,0.58378,0.03036,16.4267,0.95418,0.92381,0.97718,0.69902,0.94034,0.90076,0.95318,0.10424,1.10117,4.15173,0.77905,0.57781,0.04662,0,0.008977,0.008977,0.008977
33,799.105,1.1071,1.95089,0.49668,0.53761,0.02806,16.2941,0.91139,0.97958,0.98591,0.74153,0.90263,0.97119,0.97487,0.1189,0.9787,3.93378,0.72485,0.5563,0.04136,0,0.008944,0.008944,0.008944
34,822.227,1.13671,1.94816,0.49672,0.56757,0.02947,16.5281,0.86962,0.82857,0.91949,0.62715,0.82894,0.79048,0.8533,0.10887,1.13101,3.98713,0.73334,1.00303,0.0491,0,0.008911,0.008911,0.008911
35,845.409,1.10881,1.95322,0.49049,0.57121,0.02896,16.5611,0.9409,0.93333,0.97719,0.7356,0.9121,0.90476,0.95509,0.11276,0.99229,3.99787,0.72605,0.59181,0.04209,0,0.008878,0.008878,0.008878
