epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,1992.89,0.693,0.1141,0.40615,0.37277,0.01463,1.21741,0.95151,0.96604,0.98903,0.86303,0.95151,0.96604,0.98903,0.98564,0.55738,0.05809,0.77757,0.24575,0.02006,0,0.00505,0.00505,0.00505
27,2067.59,0.69316,0.10416,0.39798,0.37295,0.01464,0.88338,0.95357,0.93962,0.98377,0.83397,0.95357,0.93962,0.98377,0.97665,0.64498,0.05986,0.75398,0.33332,0.02376,0,0.004852,0.004852,0.004852
28,2141.46,0.72326,0.10435,0.38824,0.4089,0.01539,0.83651,0.89461,0.96981,0.96004,0.76928,0.89461,0.96981,0.96016,0.95499,0.7666,0.06567,0.92286,0.4333,0.02813,0,0.004654,0.004654,0.004654
29,2212.94,0.91103,0.09992,0.385,0.49449,0.01948,0.74234,0.95456,0.95094,0.98025,0.84415,0.95456,0.95094,0.98185,0.97367,0.62455,0.06608,1.02838,0.33474,0.02127,0,0.004456,0.004456,0.004456
30,2286.41,0.70639,0.10619,0.38969,0.37582,0.01472,0.5491,0.95795,0.96604,0.98961,0.86871,0.95795,0.96604,0.98961,0.98568,0.52884,0.05602,0.85113,0.24591,0.01861,0,0.004258,0.004258,0.004258
31,2360.35,0.80929,0.10678,0.36914,0.40155,0.0172,0.78603,0.97266,0.95849,0.98794,0.86127,0.97649,0.96226,0.99047,0.98355,0.59206,0.05266,0.73654,0.23949,0.01985,0,0.00406,0.00406,0.00406
32,2432.61,0.69719,0.09901,0.35782,0.38124,0.01457,0.84469,0.97808,0.98113,0.99344,0.90466,0.97808,0.98113,0.99344,0.99039,0.46249,0.05139,0.79686,0.17917,0.01621,0,0.003862,0.003862,0.003862
33,2506.81,0.74412,0.07737,0.33874,0.3593,0.01553,0.72378,0.93691,0.95263,0.98243,0.8692,0.9406,0.9561,0.986,0.97873,0.53968,0.05758,0.53026,0.28313,0.01796,0,0.003664,0.003664,0.003664
34,2581.35,0.73194,0.08117,0.3272,0.36452,0.01519,0.61473,0.97201,0.9283,0.98517,0.81329,0.97201,0.9283,0.98534,0.98013,0.71049,0.05165,0.67224,0.39417,0.02428,0,0.003466,0.003466,0.003466
35,2654.6,0.7172,0.10078,0.34461,0.35468,0.01504,0.82741,0.96214,0.98868,0.99195,0.85731,0.96591,0.99245,0.99291,0.98728,0.59918,0.05941,0.71268,0.21949,0.02106,0,0.003268,0.003268,0.003268
36,2726.15,0.69584,0.08886,0.32438,0.34437,0.01435,0.65365,0.9771,0.96596,0.9877,0.89318,0.9771,0.96596,0.9877,0.98071,0.45518,0.04751,0.54772,0.22215,0.01551,0,0.00307,0.00307,0.00307
37,2799.7,0.70169,0.08913,0.30291,0.33515,0.01463,0.63902,0.94669,0.93811,0.98666,0.81342,0.94669,0.93811,0.98666,0.98197,0.76822,0.04899,0.55491,0.33116,0.02495,0,0.002872,0.002872,0.002872
38,2873.32,0.74968,0.08621,0.30346,0.37504,0.01537,0.59876,0.95895,0.96957,0.99,0.8145,0.95682,0.97358,0.99021,0.98559,0.73626,0.04981,0.54201,0.25331,0.0264,0,0.002674,0.002674,0.002674
39,2945.99,0.71704,0.07376,0.2881,0.34854,0.01508,0.88066,0.96619,0.97048,0.99144,0.87089,0.96619,0.97048,0.99144,0.98729,0.5427,0.04916,0.58865,0.21793,0.01777,0,0.002476,0.002476,0.002476
40,3019.43,0.68954,0.07062,0.27484,0.33309,0.01476,0.5581,0.96119,0.98113,0.99213,0.88512,0.96119,0.98113,0.99213,0.98726,0.49944,0.04368,0.45257,0.20441,0.01695,0,0.002278,0.002278,0.002278
41,3095.4,0.53298,0.03298,0.24568,0.29819,0.01807,1.27924,0.94124,0.98491,0.99019,0.93054,0.94124,0.98491,0.99019,0.98679,0.37233,0.042,0.0888,0.17964,0.01247,0,0.00208,0.00208,0.00208
42,3168.48,0.49306,0.0331,0.17345,0.25103,0.01691,1.24455,0.95633,0.9916,0.99219,0.89118,0.95633,0.9916,0.99219,0.98864,0.49804,0.04655,0.1412,0.19049,0.01802,0,0.001882,0.001882,0.001882
43,3238.23,0.43133,0.02809,0.15305,0.21142,0.01503,0.95539,0.96636,0.9756,0.99206,0.92729,0.96636,0.9756,0.99206,0.9897,0.38449,0.04517,0.11576,0.16618,0.01316,0,0.001684,0.001684,0.001684
44,3310.97,0.43454,0.03259,0.13963,0.19879,0.01457,1.5052,0.97872,0.96981,0.99308,0.94006,0.97872,0.96981,0.99308,0.99067,0.35595,0.04159,0.10858,0.15771,0.01203,0,0.001486,0.001486,0.001486
45,3382.13,0.44416,0.03018,0.1415,0.1992,0.01465,0.83224,0.97314,0.95691,0.9904,0.92302,0.97314,0.95691,0.9904,0.98761,0.38856,0.04369,0.15186,0.20419,0.01327,0,0.001288,0.001288,0.001288
46,3454.51,0.40316,0.0278,0.14143,0.19073,0.01387,0.61906,0.98405,0.97736,0.99283,0.93321,0.98405,0.97736,0.99283,0.9904,0.38006,0.03676,0.10308,0.15872,0.0124,0,0.00109,0.00109,0.00109
47,3525.4,0.41888,0.02741,0.1256,0.18647,0.01422,0.46618,0.97915,0.99245,0.99382,0.92082,0.97915,0.99245,0.99382,0.99151,0.43689,0.03726,0.09329,0.15217,0.01525,0,0.000892,0.000892,0.000892
48,3596.27,0.36179,0.02241,0.12676,0.17668,0.01226,0.34207,0.96338,0.99277,0.99395,0.94527,0.96338,0.99277,0.99395,0.99176,0.35739,0.03397,0.08537,0.15155,0.01178,0,0.000694,0.000694,0.000694
49,3668.3,0.35056,0.02225,0.12034,0.16935,0.01169,0.15631,0.97662,0.97736,0.99353,0.95419,0.97662,0.97736,0.99353,0.99147,0.30573,0.03018,0.07726,0.13866,0.01035,0,0.000496,0.000496,0.000496
50,3738.26,0.31307,0.0263,0.10881,0.14906,0.01045,0.17953,0.99615,0.97735,0.99414,0.96916,0.99615,0.97735,0.99414,0.991,0.26734,0.03026,0.07823,0.11761,0.00911,0,0.000298,0.000298,0.000298
