epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7692,2.08368,3.19003,0.71139,1.67137,0.05889,31.0185,0.06993,0.15238,0.01795,0.00292,0.55173,0.68571,0.56118,0.20885,3.95902,2.6183,0.7644,2.14695,0.29102,0,0.00327273,0.00327273,0.0705455
2,81.9448,1.85423,1.49104,0.66609,1.07762,0.0515,16.8791,0.45536,0.65714,0.52085,0.13621,0.49228,0.73333,0.63782,0.36199,2.46941,1.74943,0.67619,4.73302,0.12129,0,0.00647526,0.00647526,0.0404147
3,108.75,1.73596,1.15325,0.65678,1.0417,0.04758,14.8452,0.44721,0.25714,0.21864,0.06623,0.44029,0.47619,0.45606,0.20807,2.92236,1.82027,0.85571,3.34523,0.13108,0,0.00954579,0.00954579,0.0101519
4,132.838,1.72188,1.05052,0.64517,1.04938,0.04661,14.5129,0.68045,0.49524,0.53107,0.14989,0.7212,0.54201,0.59994,0.47707,2.46378,1.03448,0.8589,2.46937,0.12949,0,0.009406,0.009406,0.009406
5,159.491,1.63576,0.93073,0.60825,0.95106,0.04474,13.9121,0.65885,0.70476,0.70572,0.24776,0.6625,0.69174,0.7,0.52237,2.4217,1.0397,0.96755,1.22587,0.12402,0,0.009208,0.009208,0.009208
6,185.535,1.58759,0.95504,0.59538,0.90083,0.04368,13.7823,0.71359,0.77143,0.83055,0.41043,0.71901,0.72381,0.7936,0.63871,1.75774,0.99464,0.7801,1.17355,0.08422,0,0.00901,0.00901,0.00901
7,211.44,1.57349,0.81564,0.56068,0.85381,0.0415,12.7626,0.88944,0.79048,0.90337,0.50422,0.88944,0.79048,0.91337,0.7731,1.62399,0.68359,1.01786,1.04662,0.07208,0,0.008812,0.008812,0.008812
8,235.484,1.44068,0.73282,0.54531,0.82822,0.03833,12.4376,0.67772,0.80952,0.78785,0.48054,0.67938,0.78705,0.80385,0.65259,1.33888,0.59412,0.70721,1.2306,0.06047,0,0.008614,0.008614,0.008614
9,260.613,1.36756,0.65603,0.54156,0.72893,0.0361,11.776,0.7097,0.76836,0.80642,0.51672,0.72227,0.84212,0.86578,0.73242,1.39281,0.74412,0.94626,1.03402,0.06113,0,0.008416,0.008416,0.008416
10,284.59,1.37105,0.65255,0.52773,0.74858,0.03693,11.8521,0.77647,0.82709,0.87825,0.56103,0.78541,0.83661,0.87721,0.77772,1.26292,0.56794,0.99591,1.00328,0.05456,0,0.008218,0.008218,0.008218
11,309.269,1.3667,0.55394,0.51493,0.70504,0.03594,10.7083,0.82788,0.82857,0.87987,0.56184,0.82459,0.82857,0.88169,0.77602,1.3132,0.65478,0.97089,0.87347,0.05677,0,0.00802,0.00802,0.00802
12,334.649,1.37195,0.53286,0.51283,0.672,0.03673,10.5014,0.83858,0.85714,0.93013,0.64128,0.82519,0.88571,0.93183,0.87519,1.14039,0.41224,0.96502,0.69134,0.04886,0,0.007822,0.007822,0.007822
13,359.102,1.32953,0.4801,0.50096,0.67092,0.03454,9.82695,0.8633,0.97143,0.96786,0.53708,0.85499,0.95462,0.95794,0.90348,1.70309,0.42832,0.82605,0.67058,0.07563,0,0.007624,0.007624,0.007624
14,383.523,1.26091,0.45335,0.47918,0.61727,0.03315,9.38439,0.85973,0.93396,0.9564,0.68424,0.86844,0.943,0.95139,0.9121,1.09809,0.35952,0.98229,0.65049,0.04594,0,0.007426,0.007426,0.007426
15,409.274,1.28243,0.50085,0.49808,0.63566,0.03359,9.93552,0.90599,0.74286,0.8928,0.57853,0.90599,0.74286,0.87649,0.8401,1.35086,0.36217,0.90235,0.78188,0.05749,0,0.007228,0.007228,0.007228
16,433.503,1.24788,0.45709,0.46907,0.60588,0.03306,9.26488,0.80638,0.87265,0.92423,0.54221,0.8151,0.88169,0.92029,0.88309,1.6109,0.36758,1.08161,0.76722,0.06892,0,0.00703,0.00703,0.00703
17,458.86,1.23941,0.43312,0.48773,0.61293,0.03212,9.34838,0.84611,0.94254,0.9439,0.61845,0.83756,0.93301,0.9283,0.87921,1.39633,0.36145,1.11788,0.59966,0.0646,0,0.006832,0.006832,0.006832
18,485.275,1.16509,0.37434,0.47525,0.5638,0.03038,8.65881,0.93794,0.86369,0.95227,0.6943,0.92766,0.85494,0.94036,0.90731,1.02015,0.32804,1.04349,0.51558,0.04365,0,0.006634,0.006634,0.006634
