epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,485.241,0.50158,0.27275,0.12796,0.32769,1.10547,0.99939,1,0.995,0.87258,0.98988,0.99048,0.9949,0.96616,0.55048,0.23702,0.14265,0.2808,1.27151,0.0009308,0.0009308,0.0009308
29,503.302,0.50695,0.30846,0.12945,0.33855,1.10549,0.99924,1,0.995,0.87335,0.99924,1,0.995,0.9416,0.58496,0.2915,0.09209,0.30221,1.30274,0.0008912,0.0008912,0.0008912
30,520.116,0.4999,0.26636,0.11555,0.31454,1.09908,0.99918,1,0.995,0.87148,0.99918,1,0.995,0.96057,0.52521,0.23897,0.10038,0.28944,1.271,0.0008516,0.0008516,0.0008516
31,536.875,0.49982,0.23674,0.11919,0.32616,1.11659,0.98974,1,0.995,0.86762,0.98032,0.99048,0.99481,0.96085,0.55574,0.26065,0.09238,0.29465,1.29061,0.000812,0.000812,0.000812
32,553.517,0.47635,0.22244,0.10943,0.30945,1.08776,0.99931,1,0.995,0.86637,0.99931,1,0.995,0.95351,0.6215,0.272,0.14828,0.32074,1.37216,0.0007724,0.0007724,0.0007724
33,570.141,0.47662,0.21399,0.11575,0.30795,1.0732,0.99922,1,0.995,0.86169,0.99922,1,0.995,0.95391,0.58313,0.25811,0.12202,0.29478,1.37286,0.0007328,0.0007328,0.0007328
34,586.511,0.46873,0.23158,0.11565,0.29729,1.07924,0.99043,1,0.995,0.88555,0.98098,0.99048,0.99176,0.95321,0.54541,0.23401,0.0974,0.28868,1.27489,0.0006932,0.0006932,0.0006932
35,603.595,0.44937,0.2154,0.10576,0.29511,1.07214,0.99939,1,0.995,0.88386,0.99939,1,0.995,0.95913,0.52681,0.24923,0.1027,0.25861,1.24305,0.0006536,0.0006536,0.0006536
36,620.647,0.45882,0.22393,0.10946,0.29445,1.07354,0.98073,1,0.99481,0.86318,0.97192,0.99048,0.99481,0.96961,0.5806,0.23183,0.1096,0.28803,1.34386,0.000614,0.000614,0.000614
37,636.932,0.45399,0.19488,0.10293,0.29333,1.06651,0.99942,1,0.995,0.87996,0.99942,1,0.995,0.95822,0.52317,0.23053,0.17365,0.27417,1.2451,0.0005744,0.0005744,0.0005744
38,653.973,0.44275,0.20246,0.09461,0.28681,1.06097,0.99943,1,0.995,0.88547,0.98991,0.99048,0.9949,0.9696,0.51948,0.22357,0.06474,0.26105,1.2617,0.0005348,0.0005348,0.0005348
39,674.466,0.41963,0.19523,0.09566,0.28243,1.06037,0.99011,1,0.995,0.88557,0.98068,0.99048,0.99319,0.96933,0.51735,0.241,0.10807,0.25491,1.26337,0.0004952,0.0004952,0.0004952
40,690.96,0.4155,0.18313,0.09876,0.27104,1.05135,0.99928,1,0.995,0.88801,0.99588,0.99048,0.995,0.9707,0.54333,0.22278,0.08667,0.2723,1.25147,0.0004556,0.0004556,0.0004556
41,710.055,0.29355,0.16138,0.22058,0.21402,1.0134,0.98996,1,0.995,0.88195,0.98053,0.99048,0.99472,0.95498,0.55055,0.30685,0.06704,0.2823,1.29083,0.000416,0.000416,0.000416
42,726.068,0.28222,0.12651,0.15462,0.18867,1.00457,0.99946,1,0.995,0.88286,0.98994,0.99048,0.99481,0.96514,0.51522,0.239,0.09883,0.26428,1.23625,0.0003764,0.0003764,0.0003764
43,742.98,0.26392,0.10603,0.14086,0.18114,0.99638,0.99423,1,0.995,0.88076,0.98476,0.99048,0.99471,0.96266,0.51716,0.2259,0.07816,0.26695,1.25105,0.0003368,0.0003368,0.0003368
44,758.599,0.24647,0.10273,0.13387,0.17208,0.9691,0.99586,1,0.995,0.89419,0.98797,0.99048,0.995,0.96999,0.50163,0.21787,0.09205,0.24262,1.23049,0.0002972,0.0002972,0.0002972
45,778.493,0.24308,0.10655,0.12452,0.16773,0.95663,1,0.99545,0.995,0.90047,0.99043,0.98603,0.9949,0.96893,0.47834,0.22967,0.11163,0.24499,1.18382,0.0002576,0.0002576,0.0002576
46,794.981,0.24028,0.09826,0.10422,0.1626,0.95413,0.99946,1,0.995,0.89207,0.99195,0.99048,0.995,0.96732,0.49881,0.21232,0.10704,0.24088,1.21919,0.000218,0.000218,0.000218
47,811.009,0.22653,0.0883,0.12373,0.15929,0.96411,0.99947,1,0.995,0.90481,0.99264,0.99048,0.995,0.97743,0.48602,0.19948,0.09967,0.23481,1.20235,0.0001784,0.0001784,0.0001784
48,828.638,0.2126,0.09594,0.11636,0.15129,0.94908,0.99956,1,0.995,0.903,0.99697,0.99048,0.995,0.97118,0.4773,0.20344,0.08794,0.22594,1.19016,0.0001388,0.0001388,0.0001388
49,847.379,0.2105,0.08004,0.10384,0.14863,0.94429,0.99949,1,0.995,0.90868,0.99142,0.99048,0.995,0.9673,0.47429,0.2009,0.07577,0.22037,1.17639,9.92e-05,9.92e-05,9.92e-05
50,864.79,0.2045,0.08052,0.09556,0.14658,0.94801,0.99946,1,0.995,0.90727,0.99032,0.99048,0.995,0.96942,0.47355,0.20152,0.07539,0.21878,1.18209,5.96e-05,5.96e-05,5.96e-05
